No.     Time           Source                Destination           Protocol Length Info
      1 0.000000000    172.16.20.1           10.227.20.3           DNS      76     Standard query 0x70bb A ftp.netlab.fe.up.pt
      2 0.005481220    10.227.20.3           172.16.20.1           DNS      92     Standard query response 0x70bb A ftp.netlab.fe.up.pt A 172.16.1.10
      3 0.006124400    172.16.20.1           172.16.1.10           TCP      74     37060 → 21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2300448944 TSecr=0 WS=1024
      4 0.009850161    172.16.1.10           172.16.20.1           TCP      74     21 → 37060 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM TSval=931476076 TSecr=2300448944
      5 0.009924043    172.16.20.1           172.16.1.10           TCP      66     37060 → 21 [ACK] Seq=1 Ack=1 Win=64512 Len=0 TSval=2300449008 TSecr=931476076
      6 0.045906919    172.16.1.10           172.16.20.1           FTP      114    Response: 220 Welcome to ftp.netlab.fe.up.pt service.
      7 0.046960732    172.16.20.1           172.16.1.10           TCP      66     37060 → 21 [ACK] Seq=1 Ack=49 Win=64512 Len=0 TSval=2300449072 TSecr=931476140
      8 0.048131580    172.16.20.1           172.16.1.10           FTP      76     Request: USER anonymous
      9 0.072460748    172.16.1.10           172.16.20.1           FTP      96     Response: 331 Please specify the password.
     10 0.073667206    172.16.20.1           172.16.1.10           FTP      80     Request: PASS user@
     11 0.107103187    172.16.1.10           172.16.20.1           FTP      89     Response: 230 Login successful.
     12 0.108171951    172.16.20.1           172.16.1.10           FTP      70     Request: PASV
     13 0.141271906    172.16.1.10           172.16.20.1           FTP      113    Response: 227 Entering Passive Mode (172,16,1,10,4,26).
     14 0.142510401    172.16.20.1           172.16.1.10           TCP      74     51570 → 1050 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2300449265 TSecr=0 WS=1024
     15 0.146342512    172.16.1.10           172.16.20.1           TCP      74     1050 → 51570 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM TSval=931476398 TSecr=2300449265
     16 0.146431205    172.16.20.1           172.16.1.10           TCP      66     51570 → 1050 [ACK] Seq=1 Ack=1 Win=64512 Len=0 TSval=2300449329 TSecr=931476398
     17 0.147510046    172.16.20.1           172.16.1.10           FTP      80     Request: RETR pipe.txt
     18 0.187429136    172.16.1.10           172.16.20.1           FTP      134    Response: 150 Opening BINARY mode data connection for pipe.txt (418 bytes).
     19 0.188481293    172.16.20.1           172.16.1.10           TCP      66     37060 → 21 [ACK] Seq=41 Ack=242 Win=64512 Len=0 TSval=2300449393 TSecr=931476462
     20 0.191527507    172.16.1.10           172.16.20.1           FTP-DATA 484    FTP Data: 418 bytes (PASV) (RETR pipe.txt)
     21 0.191543294    172.16.20.1           172.16.1.10           TCP      66     51570 → 1050 [ACK] Seq=1 Ack=419 Win=64512 Len=0 TSval=2300449393 TSecr=931476462
     22 0.192950262    172.16.1.10           172.16.20.1           TCP      66     1050 → 51570 [FIN, ACK] Seq=419 Ack=1 Win=65535 Len=0 TSval=931476462 TSecr=2300449329
     23 0.193377249    172.16.20.1           172.16.1.10           TCP      66     51570 → 1050 [FIN, ACK] Seq=1 Ack=420 Win=64512 Len=0 TSval=2300449394 TSecr=931476462
     24 0.194426413    172.16.20.1           172.16.1.10           FTP      70     Request: QUIT
     25 0.195682603    172.16.1.10           172.16.20.1           TCP      66     1050 → 51570 [ACK] Seq=420 Ack=2 Win=65535 Len=0 TSval=931476526 TSecr=2300449394
     26 0.223922528    172.16.1.10           172.16.20.1           FTP      89     Response: 226 Transfer complete.
     27 0.223992291    172.16.1.10           172.16.20.1           FTP      82     Response: 221 Goodbye.
     28 0.224992498    172.16.1.10           172.16.20.1           TCP      66     21 → 37060 [FIN, ACK] Seq=273 Ack=47 Win=65535 Len=0 TSval=931476527 TSecr=2300449394
     29 0.225048110    172.16.20.1           172.16.1.10           TCP      66     37060 → 21 [ACK] Seq=47 Ack=274 Win=64512 Len=0 TSval=2300449458 TSecr=931476526
